name,website,address,phone,placeId,employeeCount,industry,revenue,linkedinUrl,founded,description
McAlister Design & Automation,http://mcalisterdesign.com/,22 Woods Lake Rd,(864) 232-8325,,UNKNOWN,,6.5M,,1992,MDI is a South Carolina-based automation company that provides services such as robotics integration and electrical design for sectors including automotive and medical.
The Comedy Zone,https://www.greenvillecomedyzone.com/,221 N Main St,(864) 603-1583,,UNKNOWN,,,,,
Tupelo Honey Southern Kitchen & Bar,https://tupelohoneycafe.com/restaurant/greenville/,1 N Main St ste t,(864) 451-6200,,620,restaurants,30M,http://www.linkedin.com/company/tupelo-honey-cafe,2000,"Tupelo Honey Cafe is a restaurant chain founded in 2000 in Asheville, North Carolina. It specializes in elevated Southern cuisine, offering healthy twists on traditional dishes. The chain operates approximately 26 company-owned locations across 17 states, with a focus on providing full-service meals in an upscale-casual atmosphere. Signature dishes include fried green tomatoes over goat-cheese grits and stackable fried chicken, with menus that evolve seasonally and by location.

The company emphasizes Southern hospitality and sustainability, featuring seasonal ingredients and innovative practices like wine on tap to reduce waste. Tupelo Honey Cafe has grown significantly since its inception, driven by a commitment to guest experience and a strategy of reinvesting profits into new locations. The chain has gained recognition for its unique offerings and has been featured on Food Network, showcasing its role as a national ambassador for Southern food traditions."
US Equal Employment Opportunity Commission,https://www.eeoc.gov/field-office/greenville/location,301 N Main St,(800) 669-4000,,1900,government administration,10M,http://www.linkedin.com/company/eeoc,1965,"The United States Equal Employment Opportunity Commission (EEOC) is an independent federal agency established to enforce federal laws that prohibit workplace discrimination and harassment. It covers various aspects of employment, including hiring, firing, wages, training, and promotions. The EEOC investigates complaints, mediates settlements, and can file civil lawsuits on behalf of victims if necessary. It applies to most employers with 15 or more employees and has expanded protections to include transgender status and gender identity.

The EEOC enforces several key laws, including the Civil Rights Act of 1964, the Age Discrimination in Employment Act, and the Americans with Disabilities Act. It provides services such as filing complaints, conducting investigations, and offering educational resources on employee rights and employer responsibilities. The agency also requires employers to report demographic data to help monitor and prevent discrimination in the workplace."
TD Saturday Market,https://www.saturdaymarketlive.com/,"E McBee Ave. &, S Main St",,,UNKNOWN,farming,,http://www.linkedin.com/company/td-saturday-market,,"On Saturday mornings from May to October, two blocks of downtown Greenville’s Main Street feature over 75 vendors selling the season’s freshest produce and the area’s most original and high quality crafts."
"Bobby Jones Law, Injury, Accident, Wrongful Death, Workers’ Comp, & Medical Malpractice Lawyer",https://joneslawsc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,304 N Church St Suite 100,(864) 432-1620,,UNKNOWN,,,,,
green fetish,http://greenfetish.com/,301 E McBee Ave.,(864) 412-7982,,UNKNOWN,,,,,
Richardson Street Garage,https://www.greenvillesc.gov/519/City-Garages-Lots,66 Richardson St,(864) 467-4900,,880,government administration,146M,http://www.linkedin.com/company/cityofgreenvillesc,,"The City of Greenville, South Carolina, is a municipal government established in 1797 and incorporated in 1831. It operates under a Council-Manager system, with an elected Mayor and City Council members responsible for legislative and policy decisions. The City Manager oversees the administration, managing budgets, appointments, and department operations.

Greenville provides essential public services through various departments, including public safety, community development, and infrastructure maintenance. Key services include building permits, business licenses, fire and rescue operations, and community engagement initiatives. The city also promotes local arts and manages public works for infrastructure upkeep. The Greenville Police and Fire Departments ensure public safety, while the City Clerk and City Attorney support legislative and legal functions. The city is committed to serving its residents, businesses, and community stakeholders through accessible public services and programs."
Creme Shack,https://www.cremeshack.com/,109 N Main St,(864) 558-0585,,UNKNOWN,,,,,
Insomnia Cookies,https://insomniacookies.com/,12 E Broad St Suite 6A,(803) 560-8123,,1800,restaurants,300M,http://www.linkedin.com/company/insomnia-cookies,2003,"Insomnia Cookies is a U.S.-based bakery chain known for its late-night delivery of warm cookies and desserts. Founded in a University of Pennsylvania dorm room in the early 2000s by Seth Berkowitz and Jared Barnett, the company grew rapidly from a small operation to over 265 locations across the continental U.S., Canada, and England. Insomnia Cookies focuses on providing a variety of cookie flavors, baked goods, and ice cream, catering primarily to college students and late-night cravings.

The company emphasizes delivery, operating until 3 a.m. at select locations. Its menu includes classic and deluxe cookie flavors, brownies, cookie cakes, and milkshakes, with innovative offerings like CookieLab sections in some stores. Insomnia Cookies has established itself as a popular choice for individuals, companies, and events, making it a well-recognized name in the dessert market."
Greenville Water,http://www.greenvillewater.com/,407 W Broad St,(864) 241-6000,,210,utilities,75.4M,http://www.linkedin.com/company/greenville-water,1918,"Greenville Water is a public water utility serving over 750,000 residents in Greenville County and parts of Anderson, Pickens, and Laurens counties in South Carolina. Established in 1889, it operates as a self-sustaining municipal enterprise governed by a Commission. The utility manages approximately 3,200 miles of pipe and serves more than 177,000 metered accounts.

Greenville Water provides a range of services, including water treatment and distribution. It operates two water treatment plants, utilizing advanced filtration processes to ensure high-quality drinking water. The utility also focuses on maintaining its distribution system through proactive leak detection and regular maintenance programs. Additionally, it offers customer service support for billing inquiries and meter services. Community engagement is a priority, with outreach programs that promote water education and support local events."
LVNV Funding LLC,https://www.lvnvfunding.com/,355 S Main St,(864) 248-8700,,UNKNOWN,,,http://www.linkedin.com/company/lvnv-funding,,"Learn more about your connection to LVNV Funding. It all starts with an account that you opened. This may have been a credit card, a loan, or services."
Orvis Greenville,http://www.orvis.com/greenville,1 N Main St ste o,(864) 240-4284,,1400,retail,341M,http://www.linkedin.com/company/orvis,1856,"Orvis is a family-owned American retail and mail-order company founded in 1856 in Manchester, Vermont. It specializes in high-quality fly fishing, hunting, outdoor apparel, and sporting goods, making it the oldest mail-order retailer in the United States. The company has a rich history of innovation, starting with the introduction of the 1874 Orvis Fly Reel and pioneering mail-order catalogs.

Today, Orvis offers a wide range of premium fly-fishing equipment, including rods and reels, as well as hunting and sporting goods, outdoor apparel, and dog products. The company is known for its commitment to quality craftsmanship and conservation, promoting ""catch and release"" ethics. Orvis also operates fly-fishing and fly-casting schools, the first of which was established in 1966, and provides an international fishing and ecology travel agency. With a strong presence in retail and online sales, Orvis continues to serve outdoor enthusiasts around the world."
The Press Room,https://pressroomgvl.com/,315 S Main St,,,UNKNOWN,,,,,
GVL Marketing,https://gvlmarketing.com/,,(864) 387-4123,,UNKNOWN,,,,,
Maple Street Biscuit Company,https://www.maplestreetbiscuits.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,18 E North St,(864) 520-8724,,440,restaurants,28M,http://www.linkedin.com/company/maple-street-biscuit-company,2012,"Maple Street Biscuit Company is a fast-casual restaurant chain that specializes in scratch-made comfort food with a modern twist. Founded in 2012 by Scott Moore and Gus Evans in Jacksonville, Florida, the company quickly expanded from its first location, growing to 33 locations across seven states by 2019. The chain is known for its unique biscuits made with real maple syrup, offering a natural sweetness that sets it apart.

The menu features breakfast, lunch, and catering options, with a focus on fresh, hand-kneaded biscuits baked daily. Signature items include creatively named dishes like The Squawking Goat, a fried chicken biscuit, and The Iron Goat, which combines spinach and goat cheese. Maple Street Biscuit Company emphasizes community and togetherness, providing a welcoming dining experience with hearty, made-from-scratch meals. After being acquired by Cracker Barrel in 2019, it continues to operate independently while maintaining its commitment to quality and service."
ClearDefense Pest Control,https://locations.cleardefensepest.com/pest-control-greenville-sc-d321dd518988?y_source=1_MTc3OTUzNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,330 E Coffee St Suite 5028,(864) 900-3095,,210,environmental services,46.7M,http://www.linkedin.com/company/cleardefense-pest-control,2013,"ClearDefense Pest Control is a pest control company founded in 2013 and based in Knoxville, Tennessee. With around 95 employees and an annual revenue of $14.5 million, it operates in 31 locations across 13 states, including North Carolina, South Carolina, Virginia, and Ohio. The company is known for its environmentally responsible practices and commitment to customer satisfaction, featuring a unique Quality Assurance Program that includes a money-back guarantee and free re-service if pests persist.

The company offers professional pest control services for both homes and businesses, including general pest elimination, mosquito control, and termite control. Treatments are tailored to each property after thorough inspections, ensuring effective solutions for unique infestations. ClearDefense emphasizes the use of safe, environmentally friendly products and advanced techniques, such as Integrated Pest Management (IPM), to minimize chemical exposure. Their highly trained technicians provide upfront pricing and exceptional customer service, contributing to a strong reputation in the industry."
