name,website,address,phone,placeId,employeeCount,industry,revenue,linkedinUrl,founded,description
Glytec,http://www.glytecsystems.com/,10 Patewood Dr STE 100,(864) 370-3297,,UNKNOWN,,12M,,2006,Glytec is a Massachusetts-based cloud insulin management platform that provides solutions such as glycemic management and medication optimization for patients.
"Vortex Companies Greenville, SC",https://vortexcompanies.com/,300 E Coffee St,(713) 750-9081,,450,utilities,159.8M,http://www.linkedin.com/company/vortex-infrastructure,2015,"Vortex Companies is a global leader in trenchless infrastructure rehabilitation, focusing on no-dig technologies to renew water, sewer, and industrial systems. Founded in 2015 in Houston, the company has grown to nearly 1,000 employees across 25 locations worldwide, including North America and Europe. Vortex operates through four divisions: Vortex Services, Vortex Products, United Felts, and Vortex International, providing innovative solutions to address aging infrastructure challenges.

The company offers a wide range of products, including repair materials, CIPP liners, and specialized equipment for trenchless rehabilitation. Vortex Services provides installation expertise, including CCTV inspection, pipe relining, and manhole rehabilitation. They serve municipalities, private contractors, utilities, and industrial customers, focusing on U.S. markets and supporting sustainable renewal efforts. Vortex is committed to customer support, training, and safety, ensuring effective project execution and long-term partnerships."
Find Great People,http://www.fgp.com/,32 E Broad St,(864) 297-0000,,520,staffing & recruiting,10.7M,http://www.linkedin.com/company/findgreatpeople,1982,"Find Great People (FGP) is a talent acquisition and human resources consulting firm based in Greenville, South Carolina, with additional offices in Columbia, Charleston, and Nashville. Founded in 1982, FGP is a Veteran Owned Small Business that focuses on its core values of Growth, Gratitude, and Great, guiding its mission to connect exceptional talent with great companies throughout the employee lifecycle.

FGP offers a comprehensive range of services, including direct hire search, temporary and contract staffing, HR consulting, and outplacement services. The firm specializes in various sectors such as healthcare, government, financial services, manufacturing, nonprofit, professional services, and technology. Over the years, FGP has achieved significant growth and recognition, appearing on the Inc. 500 list multiple times and earning accolades from Forbes for its recruitment and staffing services. With a dedicated team and a client-focused approach, FGP supports both organizations and candidates in building successful partnerships and careers."
The Social Poster,https://thesocialposter.com/,355 S Main St 1st & 2nd Floor,(864) 251-5771,,UNKNOWN,,,,,
Quantros Inc.,http://www.quantros.com/,55 Beattie Pl # 1600,(877) 782-6876,,380,insurance,43.2M,http://www.linkedin.com/company/valenz,2004,"Vālenz Health® is a healthcare software company based in the Phoenix, Arizona area, with an additional office in Wayne, Pennsylvania. Founded in 2004, the company specializes in self-insurance solutions for employers, providers, payers, plans, and members. Vālenz Health® operates the Healthcare Ecosystem Optimization Platform, which simplifies self-insurance complexities by consolidating health plan solutions and enhancing data transparency, decision-making, and claims validation.

The company offers a range of integrated solutions focused on self-funded benefits, including care navigation and management, payment integrity, provider verification, and risk affinity solutions. Vālenz is set to launch ValenzONE in 2026, a health plan optimizer designed to improve cost containment and member engagement. With a strong client retention rate and recognition on the Inc. 5000 list of fastest-growing private companies, Vālenz Health® is committed to optimizing healthcare experiences and outcomes for its partners."
Actian,http://www.actian.com/,1 N Main St 4th floor,(864) 527-3500,,520,information technology & services,56.5M,http://www.linkedin.com/company/actian,1980,"Actian is the data division of HCLSoftware, specializing in data management and intelligence products. The company helps enterprises manage, govern, and leverage data at scale, enabling organizations to transform big data into business value. Actian's solutions focus on data discovery, governance, and AI-ready data preparation.

Founded in 1982, Actian has a history of innovation, starting with the development of the Btrieve database. Key milestones include the launch of Ingres Corporation and the acquisition of Vectorwise. Actian's product offerings include the Actian Data Intelligence Platform, Actian Data Platform, Ingres database, Vectorwise analytical database, DataConnect integration product, Action Apps for automated business operations, and the Actian Zeenea Federated Data Catalog for data governance.

With approximately 10,000 customers worldwide, Actian emphasizes strong, long-term relationships with its clients. The company is headquartered in Santa Clara, California, and has around 365 employees, reporting a revenue of $76.7 million."
Fusion Web Clinic,https://www.fusionwebclinic.com/,150 Executive Center Dr,(864) 735-8816,,UNKNOWN,,,,,
Carolina Creative Group,https://www.carolinacreativegroup.com/,100 W Court St,(864) 255-9270,,UNKNOWN,,3.7M,,1999,"Carolina Creative is a Greenville, SC Web Design and Digital Marketing Company. We're a group of ridiculously talented custom website designers, graphic design artists, and digital marketing specialists working together to produce Simply Brilliant Custom Website Designs."
DellBoomi,http://dellboomitraining.com/,7 S Laurens St,,,UNKNOWN,,,,,
Brandon Hart Creaitve,https://www.brandonhartcreative.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1353579640616730620,S Main St,(864) 420-4493,,UNKNOWN,,,,,
Parago Software,http://www.parago.co.uk/contact/,330 E Coffee St,(864) 527-5977,,UNKNOWN,,,,,
