name,website,address,phone,placeId,employeeCount,industry,revenue,linkedinUrl,founded,description
The Social Poster,https://thesocialposter.com/,355 S Main St 1st & 2nd Floor,(864) 251-5771,,UNKNOWN,,,,,
Quantros Inc.,http://www.quantros.com/,55 Beattie Pl # 1600,(877) 782-6876,,380,insurance,43.2M,http://www.linkedin.com/company/valenz,2004,"Vālenz Health® is a healthcare software company based in the Phoenix, Arizona area, with an additional office in Wayne, Pennsylvania. Founded in 2004, the company specializes in self-insurance solutions for employers, providers, payers, plans, and members. Vālenz Health® operates the Healthcare Ecosystem Optimization Platform, which simplifies self-insurance complexities by consolidating health plan solutions and enhancing data transparency, decision-making, and claims validation.

The company offers a range of integrated solutions focused on self-funded benefits, including care navigation and management, payment integrity, provider verification, and risk affinity solutions. Vālenz is set to launch ValenzONE in 2026, a health plan optimizer designed to improve cost containment and member engagement. With a strong client retention rate and recognition on the Inc. 5000 list of fastest-growing private companies, Vālenz Health® is committed to optimizing healthcare experiences and outcomes for its partners."
Brandon Hart Creaitve,https://www.brandonhartcreative.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1353579640616730620,S Main St,(864) 420-4493,,UNKNOWN,,,,,
DellBoomi,http://dellboomitraining.com/,7 S Laurens St,,,UNKNOWN,,,,,
Actian,http://www.actian.com/,1 N Main St 4th floor,(864) 527-3500,,520,information technology & services,56.5M,http://www.linkedin.com/company/actian,1980,"Actian is the data division of HCLSoftware, specializing in data management and intelligence products. The company helps enterprises manage, govern, and leverage data at scale, enabling organizations to transform big data into business value. Actian's solutions focus on data discovery, governance, and AI-ready data preparation.

Founded in 1982, Actian has a history of innovation, starting with the development of the Btrieve database. Key milestones include the launch of Ingres Corporation and the acquisition of Vectorwise. Actian's product offerings include the Actian Data Intelligence Platform, Actian Data Platform, Ingres database, Vectorwise analytical database, DataConnect integration product, Action Apps for automated business operations, and the Actian Zeenea Federated Data Catalog for data governance.

With approximately 10,000 customers worldwide, Actian emphasizes strong, long-term relationships with its clients. The company is headquartered in Santa Clara, California, and has around 365 employees, reporting a revenue of $76.7 million."
"Advoco, Inc.",http://www.advocoinc.com/,411 University Ridge Suite 225,(844) 423-8626,,UNKNOWN,,,,,
Pinnacle Technologies,http://www.pinntec.com/,728 N Pleasantburg Dr,(864) 250-0090,,UNKNOWN,,8.3M,,,"When using Pinnacle Technologies' Armband / Wristband System, you can rest assured that your detainees identification will be accurate. Don't be anything but certain that you're using the best."
Parago Software,http://www.parago.co.uk/contact/,330 E Coffee St,(864) 527-5977,,UNKNOWN,,,,,
Suchan Infotech Ltd,https://suchaninfotech.com/contact,18B S Markley St,(732) 993-9534,,UNKNOWN,,,,,
Sulzer USA Inc.,https://www.sulzer.de/en,104 S Main St Suite 851,,,350,information technology & services,99M,http://www.linkedin.com/company/sulzer-gmbh-germany,1978,"Sulzer GmbH is a medium-sized IT services and consulting company based in Munich, Germany, founded in 1978. The company specializes in data-driven solutions, software development, and digital transformation, primarily serving the automotive, engineering, and insurance industries. With a workforce of 201-500 employees, Sulzer emphasizes long-term partnerships and agile methodologies to deliver maximum business value through technology.

The company offers a comprehensive range of services, including IT consulting, business process optimization, custom software development, and digital transformation initiatives. Sulzer supports various technologies such as SAP ERP, Big Data, IoT, and AI, ensuring tailored solutions for its clients. The company is committed to quality and security, holding ISO 9001:2015 and ISO 27001:2022 certifications. Notably, Sulzer has established strategic partnerships with leading firms, including the BMW Group, enhancing its reputation as a trusted IT partner in the industry."
"Traxler Legal Software Solutions, LLC",http://www.traxlersoftware.com/,126 Wilderness Ln,(864) 414-3288,,UNKNOWN,,10.3M,http://www.linkedin.com/company/traxlersoftware,,
